Capital investment demands by tech
scenario,region,sector,subsector,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"Reference,date=2024-20-3T07:01:33-07:00",Africa_Eastern,Capital_Ag,Capital_Ag,Capital_Ag,2.06503,3.53295,1.98012,6.72679,4.71031,6.24985,7.54321,8.47304,9.45192,10.7176,11.8633,12.6544,13.4207,14.1026,14.7088,15.2926,15.8048,16.2526,16.6898,17.1212,17.5673,1975$,
"Reference,date=2024-20-3T07:01:33-07:00",Africa_Northern,Capital_Ag,Capital_Ag,Capital_Ag,8.93716,12.7645,5.59716,7.42884,6.31823,7.92309,8.30191,9.03706,10.0453,10.8973,11.1281,11.4463,11.5536,11.6428,11.5794,11.5158,11.4877,11.4542,11.4037,11.3202,11.4435,1975$,
"Reference,date=2024-20-3T07:01:33-07:00",Africa_Southern,Capital_Ag,Capital_Ag,Capital_Ag,4.20229,5.37896,1.95824,2.35596,2.68494,3.61496,4.50462,5.14473,5.9846,6.92111,7.86369,8.69353,9.53843,10.3128,10.9129,11.3625,11.7068,11.978,12.1659,12.311,12.6727,1975$,
"Reference,date=2024-20-3T07:01:33-07:00",Africa_Western,Capital_Ag,Capital_Ag,Capital_Ag,19.2277,30.1851,20.6154,26.9428,24.9649,35.2724,50.0129,59.3569,69.2101,78.1106,87.7018,95.5359,102.898,109.268,114.245,117.944,120.755,123.032,124.933,126.491,127.937,1975$,
"Reference,date=2024-20-3T07:01:33-07:00",Argentina,Capital_Ag,Capital_Ag,Capital_Ag,9.82583,10.9888,5.99642,6.90937,5.03655,6.41589,7.34182,7.8622,8.40905,8.98391,9.31255,9.55916,9.67692,9.83514,9.95895,10.0789,10.222,10.3298,10.3798,10.395,10.3737,1975$,
"Reference,date=2024-20-3T07:01:33-07:00",Australia_NZ,Capital_Ag,Capital_Ag,Capital_Ag,28.408,32.9814,15.8289,15.2542,17.7915,19.1657,19.8004,20.9546,22.8135,25.4396,26.9149,28.4501,30.0169,31.5641,32.9558,34.2375,35.3707,36.263,36.9412,37.4927,37.9121,1975$,
"Reference,date=2024-20-3T07:01:33-07:00",Brazil,Capital_Ag,Capital_Ag,Capital_Ag,64.6644,57.089,16.6398,19.0796,18.9171,20.3942,21.3184,23.2003,26.888,31.7454,34.1701,35.7563,36.0661,36.8763,36.688,37.233,37.9438,38.492,38.6116,38.5187,38.337,1975$,
"Reference,date=2024-20-3T07:01:33-07:00",Canada,Capital_Ag,Capital_Ag,Capital_Ag,17.5697,19.1532,6.79347,7.29982,7.44122,8.14572,8.40217,9.05507,10.0372,11.3373,12.2018,13.1592,13.9959,14.7867,15.4172,16.1085,16.8133,17.4498,17.948,18.281,18.5208,1975$,
"Reference,date=2024-20-3T07:01:33-07:00",Central America and Caribbean,Capital_Ag,Capital_Ag,Capital_Ag,5.88197,6.36689,2.57085,3.01633,2.85739,3.29819,3.47776,3.71108,3.95541,4.21206,4.25667,4.27079,4.20467,4.21519,4.20827,4.25017,4.29186,4.31921,4.32213,4.31861,4.32483,1975$,
"Reference,date=2024-20-3T07:01:33-07:00",Central Asia,Capital_Ag,Capital_Ag,Capital_Ag,9.04791,8.77485,4.34083,5.30443,4.90808,5.9834,6.51682,7.01681,7.45633,7.76437,7.7444,7.70144,7.81813,8.15427,8.31408,8.24994,8.27929,8.33922,8.43648,8.51791,8.4946,1975$,
"Reference,date=2024-20-3T07:01:33-07:00",China,Capital_Ag,Capital_Ag,Capital_Ag,42.0353,107.062,79.5336,112.605,99.0305,104.197,103.024,100.714,100.591,101.035,99.0231,95.9353,93.8255,91.6743,89.5753,87.2926,85.5487,83.2673,81.2661,79.424,77.7757,1975$,
"Reference,date=2024-20-3T07:01:33-07:00",Colombia,Capital_Ag,Capital_Ag,Capital_Ag,3.52967,3.13243,1.3763,1.34586,1.59217,1.74821,1.84283,2.0199,2.21224,2.41171,2.53914,2.61565,2.65619,2.69725,2.70989,2.73325,2.75339,2.76117,2.75624,2.7388,2.71374,1975$,
"Reference,date=2024-20-3T07:01:33-07:00",EU-12,Capital_Ag,Capital_Ag,Capital_Ag,23.6812,31.0045,12.8176,13.13,14.6241,14.2938,14.4682,14.8512,15.2291,15.5067,15.8001,15.8441,16.0636,16.3162,16.4348,16.4728,16.5109,16.5446,16.5403,16.5424,16.546,1975$,
"Reference,date=2024-20-3T07:01:33-07:00",EU-15,Capital_Ag,Capital_Ag,Capital_Ag,259.255,258.636,90.6813,84.5819,97.3721,100.21,101.262,106.691,114.415,123.294,127.823,133.142,136.603,139.588,141.205,143.4,145.575,147.108,147.81,147.967,147.443,1975$,
"Reference,date=2024-20-3T07:01:33-07:00",Europe_Eastern,Capital_Ag,Capital_Ag,Capital_Ag,11.8685,11.1973,5.45242,3.01291,3.21863,4.0693,4.20249,4.46813,4.5509,4.64501,4.6697,4.73812,5.02403,5.39836,5.65279,6.0599,5.82378,5.92329,6.01056,6.06887,6.0774,1975$,
"Reference,date=2024-20-3T07:01:33-07:00",Europe_Non_EU,Capital_Ag,Capital_Ag,Capital_Ag,15.7369,23.0006,12.9354,13.3854,12.6031,13.9953,14.3672,15.0603,15.8034,16.4683,16.6863,17.1086,17.2629,17.3531,17.395,17.4097,17.3987,17.3623,17.2888,17.1832,17.035,1975$,
"Reference,date=2024-20-3T07:01:33-07:00",European Free Trade Association,Capital_Ag,Capital_Ag,Capital_Ag,16.0926,13.2211,3.51652,4.24567,4.85056,7.16886,6.57708,7.07009,7.93044,8.91427,8.35635,8.60798,8.84135,8.97648,9.09756,9.23653,9.34616,9.40995,9.40913,9.36139,9.32245,1975$,
