scenario,region,account,year,value
KLENFMF,USA,capital-net-export,2100,0
KLENFMF,USA,investment,2100,5448330
KLENFMF,USA,materials-net-export,2100,-24218.3
KLENFMF,USA,savings,2100,5448330
KLENFMF,USA,value-added,2100,23307400
