scenario,region,year,ss,branch,input,value,Units,quantity,price_eff
KLENFMF,USA,2100,KLENFMF,Reference,capital,5217739.8809,million 1990$,83840500,0.0622341217060967
KLENFMF,USA,2100,KLENFMF,Reference,labor,18089738.7947,mil pers,164.353,110066.37417449027
KLENFMF,USA,2100,KLENFMF,Reference,energy,5295846.0391999995,billion 1975$,5009361.5600000005,1.0571898186562518
KLENFMF,USA,2100,KLENFMF,Reference,nonfood,292775.28520000086,billion 1975$,166228.03960000002,1.7612870001024834
KLENFMF,USA,2100,KLENFMF,Reference,food,100666.57160000001,billion 1975$,100666.57160000001,1
