scenario,region,year,ss,branch,input,value,Units,quantity,price_eff
KLENFMF,USA,2015,KLENFMF,Reference,capital,2432523.1404999997,million 1990$,32982400,0.07375215692308625
KLENFMF,USA,2015,KLENFMF,Reference,labor,6552509.461,mil pers,149.947,43698.836662287344
KLENFMF,USA,2015,KLENFMF,Reference,energy,1978704.5280000002,billion 1975$,2716380.24,0.7284342960763107
KLENFMF,USA,2015,KLENFMF,Reference,nonfood,111762.87049999987,billion 1975$,111770.3692,0.999932909768002
KLENFMF,USA,2015,KLENFMF,Reference,food,71292.76,billion 1975$,71292.76,1
