scenario,region,account,year,value
KLENFMF,USA,capital-net-export,2050,0
KLENFMF,USA,investment,2050,3951120
KLENFMF,USA,materials-net-export,2050,36003.3
KLENFMF,USA,savings,2050,3951120
KLENFMF,USA,value-added,2050,15460500
