scenario,region,year,account,value
KLENFMF,USA,2015,energy-investment,127962.72551999999
KLENFMF,USA,2015,consumer-durable,451542
KLENFMF,USA,2015,ag-investment,40569.27448000001
KLENFMF,USA,2015,materials-investment,1276086
